timestamp,open,high,low,close,volume
2024-09-30 22:00:00,5813.00,5813.75,5800.75,5808.50,26369
2024-10-01 02:00:00,5808.25,5819.25,5804.75,5811.00,43436
2024-10-01 06:00:00,5810.75,5812.25,5733.00,5757.75,1105540
2024-10-01 10:00:00,5757.75,5783.75,5735.75,5758.25,626117
2024-10-01 14:00:00,5761.75,5762.50,5742.50,5755.25,29018
2024-10-01 18:00:00,5755.50,5763.50,5746.75,5750.25,23650
2024-10-01 22:00:00,5750.00,5757.25,5738.75,5750.25,46640
2024-10-02 02:00:00,5750.50,5757.75,5735.75,5752.50,84808
2024-10-02 06:00:00,5752.50,5772.25,5724.00,5751.25,659171
2024-10-02 10:00:00,5751.25,5773.25,5748.00,5770.00,346853
2024-10-02 14:00:00,5769.50,5772.75,5756.00,5759.75,18841
2024-10-02 18:00:00,5759.75,5762.25,5748.25,5748.50,29859
2024-10-02 22:00:00,5748.75,5754.00,5726.50,5739.25,66363
2024-10-03 02:00:00,5739.50,5759.25,5736.50,5744.25,65895
2024-10-03 06:00:00,5744.50,5770.00,5729.25,5735.00,757857
2024-10-03 10:00:00,5735.00,5754.25,5725.75,5744.00,424850
2024-10-03 14:00:00,5744.00,5751.75,5741.00,5748.00,15153
2024-10-03 18:00:00,5748.00,5763.25,5745.25,5751.25,25525
2024-10-03 22:00:00,5751.50,5758.50,5743.50,5750.25,32090
2024-10-04 02:00:00,5750.50,5800.50,5749.50,5799.50,136120
2024-10-04 06:00:00,5799.50,5803.25,5749.50,5780.50,767797
2024-10-04 10:00:00,5780.75,5804.75,5765.75,5795.50,399359
2024-10-06 14:00:00,5804.00,5808.00,5795.25,5797.50,23389
2024-10-06 18:00:00,5797.50,5805.75,5793.50,5795.75,28242
2024-10-06 22:00:00,5795.75,5796.50,5773.25,5773.75,56767
2024-10-07 02:00:00,5773.50,5781.00,5762.75,5778.25,68656
2024-10-07 06:00:00,5778.25,5788.75,5769.75,5775.00,455756
2024-10-07 10:00:00,5775.25,5778.75,5734.25,5750.00,507030
2024-10-07 14:00:00,5751.75,5754.50,5725.25,5751.25,40860
2024-10-07 18:00:00,5751.25,5752.25,5739.75,5747.00,32499
2024-10-07 22:00:00,5747.00,5754.25,5736.25,5753.00,53069
2024-10-08 02:00:00,5753.00,5770.75,5753.00,5766.00,73338
2024-10-08 06:00:00,5766.25,5795.00,5763.75,5788.50,492716
2024-10-08 10:00:00,5788.50,5806.75,5774.50,5798.25,396048
2024-10-08 14:00:00,5798.00,5800.25,5793.75,5795.25,8961
2024-10-08 18:00:00,5795.50,5797.75,5787.50,5788.75,17842
2024-10-08 22:00:00,5789.00,5793.25,5780.75,5788.25,36072
2024-10-09 02:00:00,5788.25,5801.25,5787.75,5797.50,46364
2024-10-09 06:00:00,5797.75,5840.00,5793.75,5828.00,498363
2024-10-09 10:00:00,5828.00,5846.50,5818.75,5836.50,449296
2024-10-09 14:00:00,5835.75,5841.00,5834.25,5839.50,10690
2024-10-09 18:00:00,5839.25,5842.75,5837.50,5840.75,14399
2024-10-09 22:00:00,5840.50,5842.25,5828.25,5830.50,35968
2024-10-10 02:00:00,5830.75,5844.00,5814.75,5820.75,119751
2024-10-10 06:00:00,5820.75,5843.25,5812.75,5829.25,473661
2024-10-10 10:00:00,5829.25,5834.25,5811.50,5831.00,404956
2024-10-10 14:00:00,5830.50,5837.75,5829.00,5833.50,11978
2024-10-10 18:00:00,5833.50,5836.50,5829.50,5830.00,10112
2024-10-10 22:00:00,5830.00,5830.50,5816.00,5817.00,25472
2024-10-11 02:00:00,5817.25,5837.75,5816.25,5825.75,60938
2024-10-11 06:00:00,5826.00,5866.25,5822.75,5853.50,498025
2024-10-11 10:00:00,5853.50,5868.25,5848.50,5853.25,349614
2024-10-13 14:00:00,5855.50,5860.25,5852.00,5855.25,14350
2024-10-13 18:00:00,5855.00,5857.25,5850.00,5855.75,13352
2024-10-13 22:00:00,5856.00,5865.75,5855.75,5863.00,24582
2024-10-14 02:00:00,5863.00,5874.50,5863.00,5873.00,42320
2024-10-14 06:00:00,5873.25,5905.50,5873.00,5904.00,399902
2024-10-14 10:00:00,5904.00,5918.50,5898.50,5913.75,348179
2024-10-14 14:00:00,5911.50,5914.50,5906.50,5909.50,15969
2024-10-14 18:00:00,5909.25,5915.50,5908.75,5913.50,13402
2024-10-14 22:00:00,5913.25,5913.75,5902.50,5904.75,32797
2024-10-15 02:00:00,5904.75,5911.25,5902.25,5910.25,53256
2024-10-15 06:00:00,5910.50,5914.00,5877.50,5883.00,638058
2024-10-15 10:00:00,5883.25,5884.75,5850.00,5860.75,526400
2024-10-15 14:00:00,5860.75,5866.50,5853.75,5863.75,14904
2024-10-15 18:00:00,5863.50,5869.00,5860.75,5868.00,15191
2024-10-15 22:00:00,5868.00,5868.25,5855.75,5862.50,38029
2024-10-16 02:00:00,5862.25,5869.00,5861.00,5863.25,41875
2024-10-16 06:00:00,5863.25,5878.25,5853.25,5878.00,437237
2024-10-16 10:00:00,5878.25,5892.75,5873.25,5883.75,340211
2024-10-16 14:00:00,5884.25,5884.50,5873.00,5878.75,12925
2024-10-16 18:00:00,5878.75,5880.75,5871.25,5873.75,14495
2024-10-16 22:00:00,5873.25,5908.50,5873.00,5908.00,56126
2024-10-17 02:00:00,5908.25,5919.75,5905.50,5918.75,75326
2024-10-17 06:00:00,5918.75,5927.25,5886.50,5907.25,589074
2024-10-17 10:00:00,5907.25,5910.50,5884.75,5887.50,415759
2024-10-17 14:00:00,5888.50,5893.75,5876.25,5884.25,16983
2024-10-17 18:00:00,5884.25,5888.75,5882.75,5885.50,15333
2024-10-17 22:00:00,5885.50,5899.75,5884.75,5897.25,32112
2024-10-18 02:00:00,5897.50,5902.50,5892.00,5900.25,44123
2024-10-18 06:00:00,5900.25,5914.00,5886.50,5908.00,442020
2024-10-18 10:00:00,5908.00,5915.50,5899.25,5907.50,331311
2024-10-20 14:00:00,5911.75,5915.50,5910.75,5912.75,9229
2024-10-20 18:00:00,5912.75,5914.75,5905.25,5906.00,11354
2024-10-20 22:00:00,5905.75,5906.50,5899.00,5904.00,24318
2024-10-21 02:00:00,5904.00,5904.50,5883.00,5892.75,56290
2024-10-21 06:00:00,5892.75,5908.50,5865.00,5887.75,562524
2024-10-21 10:00:00,5888.00,5901.00,5881.25,5898.75,355641
2024-10-21 14:00:00,5899.00,5900.50,5887.50,5888.00,14161
2024-10-21 18:00:00,5887.75,5890.25,5882.25,5882.50,17931
2024-10-21 22:00:00,5882.50,5887.75,5875.50,5875.50,32514
2024-10-22 02:00:00,5875.50,5877.25,5861.50,5867.50,79957
2024-10-22 06:00:00,5867.75,5885.50,5861.25,5884.75,464599
2024-10-22 10:00:00,5884.75,5904.25,5881.75,5887.00,385132
2024-10-22 14:00:00,5884.00,5890.75,5881.00,5884.00,11646
2024-10-22 18:00:00,5884.00,5890.00,5882.00,5888.25,12799
2024-10-22 22:00:00,5888.25,5893.75,5882.50,5883.00,31724
2024-10-23 02:00:00,5882.75,5886.00,5870.75,5872.00,57947
2024-10-23 06:00:00,5872.25,5874.75,5833.50,5838.50,640524
2024-10-23 10:00:00,5838.75,5847.00,5801.00,5842.00,650150
2024-10-23 14:00:00,5844.50,5852.50,5838.50,5852.25,16034
2024-10-23 18:00:00,5852.00,5854.50,5846.25,5849.50,18260
2024-10-23 22:00:00,5849.50,5866.75,5846.75,5862.00,37864
2024-10-24 02:00:00,5862.00,5870.00,5860.25,5862.75,52088
2024-10-24 06:00:00,5862.75,5866.75,5822.50,5846.00,593200
2024-10-24 10:00:00,5846.00,5856.75,5837.75,5852.75,399714
2024-10-24 14:00:00,5851.75,5854.00,5847.00,5853.00,13368
2024-10-24 18:00:00,5852.75,5855.50,5844.75,5846.00,13658
2024-10-24 22:00:00,5846.00,5860.25,5844.25,5858.25,32129
2024-10-25 02:00:00,5858.00,5872.00,5858.00,5871.25,49449
2024-10-25 06:00:00,5871.50,5900.75,5869.50,5875.25,570161
2024-10-25 10:00:00,5875.25,5875.25,5835.00,5841.50,616321
2024-10-27 14:00:00,5864.25,5881.25,5858.00,5874.50,32450
2024-10-27 18:00:00,5874.50,5880.50,5870.00,5879.00,28304
2024-10-27 22:00:00,5879.25,5883.50,5868.50,5881.00,43585
2024-10-28 02:00:00,5881.50,5884.50,5864.25,5879.50,72423
2024-10-28 06:00:00,5879.25,5881.75,5860.00,5864.50,454577
2024-10-28 10:00:00,5864.75,5872.75,5859.50,5864.25,352147
2024-10-28 14:00:00,5864.25,5864.75,5855.25,5861.00,14773
2024-10-28 18:00:00,5860.75,5862.75,5850.25,5857.25,25066
2024-10-28 22:00:00,5857.50,5869.50,5854.75,5864.50,40259
2024-10-29 02:00:00,5864.25,5865.25,5848.00,5850.25,79224
2024-10-29 06:00:00,5850.00,5874.75,5837.50,5873.75,562138
2024-10-29 10:00:00,5873.75,5883.75,5867.50,5878.00,412016
2024-10-29 14:00:00,5881.00,5891.50,5880.25,5890.50,19663
2024-10-29 18:00:00,5890.25,5893.00,5877.00,5877.25,25335
2024-10-29 22:00:00,5877.00,5886.00,5874.50,5880.25,38410
2024-10-30 02:00:00,5879.75,5885.00,5866.50,5868.50,96020
